Unnamed: 0,Cód Cliente,Cliente,Fat/dia Jan-Mar 2026,Fat/dia Atual,Fat/dia Projetado,Δ vs Jan-Mar 2026 %,MC/dia Jan-Mar 2026,MC/dia Atual,MC/dia Projetada,Δ MC R$/dia,Δ MC %
24,I3959,ALTERNATIVATEM LTDA,1407.29,573.97,573.97,-59.21451868484818,49.02,30.11,30.109999999999985,-18.91000000000001,-4.7196462023254745e-14
17,I2111,SOMAG DISTRIBUIDORA DE PECAS LTDA,510.84,245.77,245.77,-51.88904549369665,31.52,14.49,14.49,-17.03,0.0
20,I2926,ELICACIA BELMIRO DE CASTRO LTDA,906.79,505.2,505.2,-44.28699037263313,59.48,45.52,45.52000000000001,-13.959999999999988,1.5609462560634892e-14
9,28037,OPPS OTAVIO PNEUS PECAS E SERVIAOS LTDA,1173.89,660.76,660.76,-43.71193212311205,92.59,81.02,81.02,-11.570000000000007,0.0
26,I4579,SWS CENTRO AUTOMOTIVO LTDA,794.46,589.55,589.55,-25.792362107595103,92.86,84.12,84.12,-8.739999999999995,0.0
11,28078,LUCINEI LUIZ DA CRUZ,74.84,0.0,0.0,-100.0,8.01,0.0,0.0,-8.01,
27,I5539,JECAR AUTO PECAS PALMEIRAS LTDA,135.51,43.27,43.27,-68.06877721201387,14.22,6.55,6.550000000000001,-7.67,1.3559975873284355e-14
3,24083,TIGRE AUTO PECAS FAINA LTDA,523.91,239.37,239.37,-54.31085491782939,28.09,20.85,20.85,-7.239999999999998,0.0
28,I5729,CAP DISTRIBUIDORA DE AUTO PECAS LTDA,226.11,128.7,128.7,-43.080801379859366,12.28,6.46,6.459999999999997,-5.820000000000004,-4.124667583746711e-14
1,23962,ROLAFER ROLAMENTOS E AUTO PECAS LTDA,216.28,64.03,64.03,-70.39485851673757,8.01,2.52,2.52,-5.49,-1.7622587692462803e-14
0,23356,LUIZ AUTO PECAS LTDA,225.15,138.2,138.2,-38.61869864534755,13.42,10.98,10.980000000000006,-2.439999999999994,4.8534339874323783e-14
18,I2140,RODRIGUES BRAGA PECAS E ACESSORIOS LTDA,32.49,0.0,0.0,-100.0,1.33,0.0,0.0,-1.33,
25,I4227,BMCAR PECAS E SERVICOS LTDA,47.46,19.93,19.93,-58.00674252001685,4.66,3.46,3.46,-1.2000000000000002,0.0
19,I2897,CAIRO MAGALHAES PIMENTA,27.95,0.0,0.0,-100.0,0.47,0.0,0.0,-0.47,
30,I6127,GT DISTRIBUIDORA DE AUTO PECAS LTDA,3.02,0.0,0.0,-100.0,0.35,0.0,0.0,-0.35,
10,28042,JP COMERCIO PARA AUTOS LTDA,1.23,0.0,0.0,-100.0,0.24,0.0,0.0,-0.24,
