,Cód Cliente,Cliente,Fat/dia Jan-Mar 2026,Fat/dia Atual,Fat/dia Projetado,Δ vs Jan-Mar 2026 %,MC/dia Jan-Mar 2026,MC/dia Atual,MC/dia Projetada,Δ MC R$/dia,Δ MC %
31,I7267,TNET AUTO PECAS LTDA,780.1899999999999,0,0,-100,104.26,0,0,-104.26,
19,I2897,CAIRO MAGALHAES PIMENTA,27.95,0,0,-100,0.47,0,0,-0.47,
18,I2140,RODRIGUES BRAGA PECAS E ACESSORIOS LTDA,32.49,0,0,-100,1.33,0,0,-1.33,
16,I1937,OPEN AUTO CENTER LTDA,168.34,0,0,-100,19.52,0,0,-19.52,
30,I6127,GT DISTRIBUIDORA DE AUTO PECAS LTDA,3.02,0,0,-100,0.35,0,0,-0.35,
10,28042,JP COMERCIO PARA AUTOS LTDA,1.23,0,0,-100,0.24,0,0,-0.24,
11,28078,LUCINEI LUIZ DA CRUZ,74.84,0,0,-100,8.01,0,0,-8.01,
8,27408,KADOSH CENTRO AUTOMOTIVO LTDA,769.68,99.46,99.46,-87.07774659598795,73.3,10.85,10.850000000000001,-62.449999999999996,1.637195243686867e-14
21,I2933,ANA CRISTINA DE OLIVEIRA,512.15,66.86,66.86,-86.94523088938787,71.54,6.76,6.760000000000002,-64.78,2.6277468038465244e-14
12,I1520,IOBERTO ALVES DOS SANTOS JUNIOR LTDA,441.05,75.04,75.04,-82.98605600272077,50.08,15.51,15.51,-34.57,0
1,23962,ROLAFER ROLAMENTOS E AUTO PECAS LTDA,216.28,64.03,64.03,-70.39485851673757,8.01,2.52,2.5199999999999996,-5.49,-1.7622587692462803e-14
27,I5539,JECAR AUTO PECAS PALMEIRAS LTDA,135.51,43.27,43.27,-68.06877721201387,14.22,6.55,6.550000000000001,-7.67,1.3559975873284355e-14
24,I3959,ALTERNATIVATEM LTDA,1407.29,573.97,573.97,-59.21451868484818,49.019999999999996,30.11,30.109999999999985,-18.91000000000001,-4.7196462023254745e-14
15,I1891,SMM PECAS E SERVICOS LTDA,476.77,198.61,198.61,-58.34259705937873,49.88,22.560000000000002,22.56,-27.320000000000004,-1.5747844320924203e-14
25,I4227,BMCAR PECAS E SERVICOS LTDA,47.46,19.93,19.93,-58.00674252001685,4.66,3.46,3.46,-1.2000000000000002,0
4,24094,ROCHA VASCONCELOS PECAS LTDA,319.74,139.8,139.8,-56.2769750422218,19.79,21.15,21.150000000000002,1.360000000000003,1.6797700608985822e-14
3,24083,TIGRE AUTO PECAS FAINA LTDA,523.91,239.37,239.37,-54.31085491782939,28.09,20.85,20.85,-7.239999999999998,0
17,I2111,SOMAG DISTRIBUIDORA DE PECAS LTDA,510.84,245.77,245.77,-51.88904549369665,31.52,14.49,14.49,-17.03,0
20,I2926,ELICACIA BELMIRO DE CASTRO LTDA,906.79,505.2,505.2,-44.28699037263313,59.48,45.52,45.52000000000001,-13.959999999999987,1.560946256063489e-14
9,28037,OPPS OTAVIO PNEUS PECAS E SERVIAOS LTDA,1173.89,660.76,660.76,-43.71193212311205,92.59,81.02,81.02,-11.570000000000007,0
28,I5729,CAP DISTRIBUIDORA DE AUTO PECAS LTDA,226.11,128.7,128.7,-43.080801379859366,12.280000000000001,6.46,6.459999999999997,-5.820000000000004,-4.124667583746711e-14
0,23356,LUIZ AUTO PECAS LTDA,225.15,138.2,138.2,-38.61869864534755,13.42,10.98,10.980000000000006,-2.439999999999994,4.853433987432378e-14
13,I1609,AUTO PECAS NACIONAL LTDA,386.96999999999997,245.55,245.55,-36.54546864097992,2.14,2.4499999999999997,2.4499999999999886,0.3099999999999885,-4.5315225494904355e-13
29,I6087,KD AUTO PECAS LTDA,450.15,296.74,296.74,-34.07975119404642,61.85,32.46,32.46,-29.39,0
23,I2952,AUTO CARS EXPRESS CENTRO AUTOMOTIVO LTDA,553.14,379.15,379.15,-31.454966193007195,74.84,51.449999999999996,51.45,-23.39,1.3810354436542278e-14
26,I4579,SWS CENTRO AUTOMOTIVO LTDA,794.46,589.55,589.55,-25.792362107595103,92.86,84.12,84.12,-8.739999999999995,0
22,I2940,WS DISTRIBUIDORA E AUTO PECAS LTDA,1187.54,891.12,891.12,-24.9608434242215,77.52,94.05,94.05000000000001,16.530000000000015,1.5109893370762365e-14
5,24237,PACOTAO DAS PECAS LTDA,544.88,415.93,415.93,-23.66576126853619,75.81,52.43,52.43,-23.380000000000003,0
2,24050,VASCONCELOS E ROSA LTDA,92.76,77.49,77.49,-16.461836998706346,7.76,8.26,8.260000000000002,0.5000000000000018,2.1505530743344437e-14
6,26870,JOAO PAULO FERREIRA CENTRO AUTOMOTIVO LT,550.47,466.71,466.71,-15.216088070194566,65.72,66.09,66.09,0.37000000000000455,0
7,27303,N K ALVES DE ARAUJO E CIA LTDA,514.37,453.21000000000004,453.21000000000004,-11.890273538503404,49.51,61.54,61.53999999999999,12.029999999999994,-1.1546030805331495e-14
14,I1736,LUCAS RAFAEL FERREIRA DO AMARAL LTDA,570.01,510.44,510.44,-10.450693847476355,37.8,47.38,47.38,9.580000000000005,0
