codfor,fornecedor,codcli,sigla,nome,P_a,P_d,delta_P_pct,C,Q_a,Q_d,delta_Q_pct,elasticidade,MC_pct_a,MC_pct_d,MC_dia_a,MC_dia_d,P_otimo,MC_pct_otimo,Q_dia_otimo,MC_dia_otimo,interpretacao
00124,ZEN S.A INDUSTRIA METALURGICA,23989,Q,ELETRO AUTO DISTRIBUIDORA LTDA,188.988,208.952,10.564,152.592,4.0,2.0,-50.0,-6.644,9.529,14.592,72.031,60.982,179.63,15.1,5.6,151.56,OK
00124,ZEN S.A INDUSTRIA METALURGICA,I5424,Q,SET ELETROPECAS DISTRIBUIDORA DE PECAS A,32.541,674.475,1972.666,29.291,11.5,0.4,-96.522,-1.027,10.072,13.966,37.691,37.68,1100.53,97.3,0.3,330.83,OK
00124,ZEN S.A INDUSTRIA METALURGICA,I2621,Q,SOPEL SO PECAS ELETRICAS LTDA,118.902,89.821,-24.457,87.12,2.273,2.8,23.2,-0.746,11.375,15.769,30.739,39.658,,,,,inelástico (sem ótimo finito)
00124,ZEN S.A INDUSTRIA METALURGICA,27303,O,N K ALVES DE ARAUJO E CIA LTDA,190.184,103.785,-45.429,121.225,1.091,3.0,175.0,-1.588,10.273,16.273,21.314,50.668,327.46,63.0,0.5,94.94,OK
00124,ZEN S.A INDUSTRIA METALURGICA,I3315,O,AUTO PECAS MECANICA E ELETRICA CONFINAAA,105.817,121.828,15.131,86.836,1.318,2.0,51.724,2.921,9.743,14.13,13.59,34.428,,,,,inelástico (sem ótimo finito)
00395,H.F. SISTEMAS DE FREIO LTDA,I1886,O,AUTO PECAS DO MARCELO LTDA,114.624,96.942,-15.426,95.162,3.545,2.0,-43.59,3.335,8.478,12.418,34.453,24.076,,,,,inelástico (sem ótimo finito)
00395,H.F. SISTEMAS DE FREIO LTDA,I1638,O,MC MAQUINAS E EQUIPAMENTOS LTDA,117.933,294.955,150.104,115.64,1.409,0.8,-43.226,-0.643,7.96,11.876,13.228,28.024,,,,,inelástico (sem ótimo finito)
00395,H.F. SISTEMAS DE FREIO LTDA,24003,O,MGL DISTRIBUIDORA AUTOMOTIVE LTDA,83.453,91.594,9.756,71.497,1.591,1.0,-37.143,-4.904,7.941,12.507,10.543,11.456,89.81,20.4,1.1,20.33,OK
00395,H.F. SISTEMAS DE FREIO LTDA,I1554,O,MEGA AUTO PECAS LTDA,68.725,86.292,25.56,60.781,1.909,1.0,-47.619,-2.758,6.92,11.693,9.079,10.09,95.36,36.3,0.8,26.75,OK
00395,H.F. SISTEMAS DE FREIO LTDA,24034,O,SAN CARLOS PECAS E SERVICOS AUTOMOTIVOS,73.887,87.382,18.265,64.88,1.545,1.6,3.529,0.207,7.348,12.099,8.39,16.916,,,,,inelástico (sem ótimo finito)
00520,NITERRA DO BRASIL LTDA,I1554,O,MEGA AUTO PECAS LTDA,65.271,20.763,-68.189,49.414,4.318,2.6,-39.789,0.48,9.189,13.937,25.898,7.524,,,,,inelástico (sem ótimo finito)
00520,NITERRA DO BRASIL LTDA,24134,O,DOIS IRMAOS AUTO PECAS LTDA,50.844,63.39,24.676,41.345,3.5,0.2,-94.286,-8.121,10.116,14.892,18.001,1.888,47.15,12.3,6.5,37.49,OK
00520,NITERRA DO BRASIL LTDA,I2172,O,OFERTAO DAS PECAS LTDA,41.768,84.8,103.027,36.22,4.227,0.8,-81.075,-2.005,8.71,13.101,15.378,8.888,72.25,49.9,1.4,50.76,OK
00520,NITERRA DO BRASIL LTDA,24003,O,MGL DISTRIBUIDORA AUTOMOTIVE LTDA,58.638,84.8,44.616,49.755,2.955,1.6,-45.846,-1.631,10.314,13.101,17.869,17.776,128.66,61.3,0.8,64.73,OK
00520,NITERRA DO BRASIL LTDA,24046,O,RODRIGUES DA SILVA E MATIAS,76.611,142.11,85.497,68.702,1.773,1.0,-43.59,-0.931,8.96,14.943,12.169,21.236,,,,,inelástico (sem ótimo finito)
00520,NITERRA DO BRASIL LTDA,I2926,O,ELICACIA BELMIRO DE CASTRO LTDA,57.747,24.024,-58.398,30.04,2.273,14.6,542.4,-1.772,9.37,14.309,12.297,50.188,68.98,56.4,1.7,64.59,OK
00520,NITERRA DO BRASIL LTDA,I1886,O,AUTO PECAS DO MARCELO LTDA,20.88,21.224,1.649,17.201,5.727,2.0,-65.079,-58.969,9.834,14.022,11.76,5.952,17.5,1.7,191765.5,56903.07,OK
07615,DRIV BRASIL SOLUCOES AUT.,I3959,O,ALTERNATIVATEM LTDA,34.661,186.987,439.466,31.78,10.273,0.6,-94.159,-1.295,6.747,11.587,24.023,13.0,139.69,77.2,1.7,182.46,OK
07615,DRIV BRASIL SOLUCOES AUT.,I1638,O,MC MAQUINAS E EQUIPAMENTOS LTDA,58.617,117.824,101.008,56.318,3.136,2.0,-36.232,-0.659,7.071,12.06,13.0,28.42,,,,,inelástico (sem ótimo finito)
07615,DRIV BRASIL SOLUCOES AUT.,I2940,O,WS DISTRIBUIDORA E AUTO PECAS LTDA,89.812,149.126,66.043,85.299,1.409,1.4,-0.645,-0.013,6.626,11.587,8.385,24.19,,,,,inelástico (sem ótimo finito)
07615,DRIV BRASIL SOLUCOES AUT.,I1554,O,MEGA AUTO PECAS LTDA,118.395,91.37,-22.826,92.562,1.0,1.2,20.0,-0.706,9.229,11.444,10.927,12.548,,,,,inelástico (sem ótimo finito)
07615,DRIV BRASIL SOLUCOES AUT.,24003,O,MGL DISTRIBUIDORA AUTOMOTIVE LTDA,68.482,95.895,40.03,59.977,1.409,0.8,-43.226,-1.653,7.978,11.7,7.698,8.976,151.79,60.5,0.4,34.7,OK
