codfor,fornecedor,fantasia,sigla,a_vl,a_cmv,a_mc,a_qtde,a_cli,d_vl,d_cmv,d_mc,d_qtde,d_cli
00002,3RHO INTERRUPTORES  AUTOMOTIVOS LTDA,3RHO,B,726.45,525.98,158.70,14,5,390.14,272.72,60.83,7,2
00002,3RHO INTERRUPTORES  AUTOMOTIVOS LTDA,3RHO,E,15357.73,11830.65,1046.02,342,31,3773.19,2838.64,368.20,71,22
00002,3RHO INTERRUPTORES  AUTOMOTIVOS LTDA,3RHO,F,1656.42,1054.32,330.80,33,12,50.90,26.58,18.43,1,1
00002,3RHO INTERRUPTORES  AUTOMOTIVOS LTDA,3RHO,I,349.57,191.87,148.25,3,3,232.08,127.78,97.07,3,3
00002,3RHO INTERRUPTORES  AUTOMOTIVOS LTDA,3RHO,K,64254.69,46389.36,10487.60,1329,426,22524.62,15778.32,4328.58,423,223
00002,3RHO INTERRUPTORES  AUTOMOTIVOS LTDA,3RHO,M,892.77,683.72,164.82,18,3,350.71,289.73,50.11,6,2
00002,3RHO INTERRUPTORES  AUTOMOTIVOS LTDA,3RHO,N,880.17,749.38,112.85,20,2,237.60,194.08,34.47,5,2
00002,3RHO INTERRUPTORES  AUTOMOTIVOS LTDA,3RHO,O,10318.20,7577.46,1158.79,216,36,2647.21,1923.57,392.54,57,13
00002,3RHO INTERRUPTORES  AUTOMOTIVOS LTDA,3RHO,Q,4402.06,3382.50,340.08,90,13,903.33,642.61,112.84,17,6
00002,3RHO INTERRUPTORES  AUTOMOTIVOS LTDA,3RHO,U,3273.88,2503.49,221.83,59,3,1026.57,778.14,91.23,23,4
00002,3RHO INTERRUPTORES  AUTOMOTIVOS LTDA,3RHO,,21321.74,15266.57,4567.14,382,125,8391.58,6360.33,1652.84,159,73
00007,GRUD COMERCIO AUTOMOTIVO LTDA,GRUD,F,263.68,137.88,41.71,2,1,0.00,0.00,0.00,0,0
00007,GRUD COMERCIO AUTOMOTIVO LTDA,GRUD,K,3700.91,1972.77,1105.53,73,29,436.15,224.79,140.86,5,5
00007,GRUD COMERCIO AUTOMOTIVO LTDA,GRUD,M,24.38,12.84,7.62,1,1,0.00,0.00,0.00,0,0
00007,GRUD COMERCIO AUTOMOTIVO LTDA,GRUD,O,47.01,24.88,14.57,2,1,0.00,0.00,0.00,0,0
00007,GRUD COMERCIO AUTOMOTIVO LTDA,GRUD,Q,780.52,428.06,226.91,10,2,69.50,34.29,24.05,1,1
00007,GRUD COMERCIO AUTOMOTIVO LTDA,GRUD,,2193.67,1137.36,518.77,45,12,135.08,73.92,39.09,4,4
00055,OSPINA IND DE AUTO PECAS LTDA,OSPINA,B,121.62,90.44,15.97,2,1,187.16,139.20,49.14,1,1
00055,OSPINA IND DE AUTO PECAS LTDA,OSPINA,E,439.32,281.33,116.31,4,3,567.63,375.46,103.92,6,4
00055,OSPINA IND DE AUTO PECAS LTDA,OSPINA,F,342.82,242.70,91.60,3,3,0.00,0.00,0.00,0,0
00055,OSPINA IND DE AUTO PECAS LTDA,OSPINA,I,418.70,224.92,161.21,2,1,68.79,39.93,27.70,1,1
00055,OSPINA IND DE AUTO PECAS LTDA,OSPINA,J,399.39,306.00,97.80,3,1,0.00,0.00,0.00,0,0
00055,OSPINA IND DE AUTO PECAS LTDA,OSPINA,K,15545.50,10808.28,3588.33,141,76,4412.96,2940.68,1129.92,36,29
00055,OSPINA IND DE AUTO PECAS LTDA,OSPINA,M,194.46,148.96,33.17,4,3,172.03,145.19,42.15,1,1
00055,OSPINA IND DE AUTO PECAS LTDA,OSPINA,N,50.05,38.33,12.27,1,1,0.00,0.00,0.00,0,0
00055,OSPINA IND DE AUTO PECAS LTDA,OSPINA,O,2188.50,1363.44,570.23,19,8,374.64,244.41,85.13,4,2
00055,OSPINA IND DE AUTO PECAS LTDA,OSPINA,Q,1809.71,1155.34,268.84,23,7,194.49,113.25,59.47,1,1
00055,OSPINA IND DE AUTO PECAS LTDA,OSPINA,U,340.43,205.28,61.69,3,2,18.08,10.57,5.52,1,1
