codgru,grupo,sigla,a_vl,a_cmv,a_mc,a_qtde,a_cli,d_vl,d_cmv,d_mc,d_qtde,d_cli
0001,RELE,B,807.36,522.36,74.09,89,4,431.21,264.13,64.02,30,5
0001,RELE,E,2951.56,1878.82,290.47,197,11,795.69,504.59,75.97,65,6
0001,RELE,F,625.67,371.38,155.71,18,6,112.73,59.38,21.07,5,2
0001,RELE,I,205.51,88.34,87.46,1,1,0.00,0.00,0.00,0,0
0001,RELE,K,41021.85,26529.98,4501.84,2968,262,10418.27,6534.61,1312.18,713,130
0001,RELE,M,1359.03,894.47,235.16,66,3,216.53,146.62,18.15,20,2
0001,RELE,N,704.98,461.64,109.22,52,2,139.20,84.65,20.51,11,2
0001,RELE,O,5268.56,3342.35,647.14,382,19,1791.79,1072.73,253.17,93,17
0001,RELE,Q,4067.65,2800.04,217.63,307,13,1885.07,1226.37,125.35,138,9
0001,RELE,U,4018.05,2754.56,182.95,303,3,1096.94,718.88,93.45,60,2
0001,RELE,,22957.62,14657.59,3083.89,1786,130,5052.20,3227.40,575.10,461,58
0002,ESPAGUETE CORRUGADO,F,263.68,137.88,41.71,2,1,0.00,0.00,0.00,0,0
0002,ESPAGUETE CORRUGADO,K,3700.91,1972.77,1105.53,73,29,436.15,224.79,140.86,5,5
0002,ESPAGUETE CORRUGADO,M,24.38,12.84,7.62,1,1,0.00,0.00,0.00,0,0
0002,ESPAGUETE CORRUGADO,O,47.01,24.88,14.57,2,1,0.00,0.00,0.00,0,0
0002,ESPAGUETE CORRUGADO,Q,780.52,428.06,226.91,10,2,69.50,34.29,24.05,1,1
0002,ESPAGUETE CORRUGADO,,2179.81,1123.60,514.14,44,11,135.08,73.92,39.09,4,4
0003,TRAVA DIRECAO,B,111.70,92.35,29.60,1,1,78.23,57.45,21.89,1,1
0003,TRAVA DIRECAO,E,1428.62,974.06,257.19,11,4,0.00,0.00,0.00,0,0
0003,TRAVA DIRECAO,F,483.74,359.20,145.41,3,3,0.00,0.00,0.00,0,0
0003,TRAVA DIRECAO,K,12894.95,9232.04,3008.94,75,45,3848.39,2848.81,928.68,28,21
0003,TRAVA DIRECAO,M,242.33,205.85,59.99,2,2,0.00,0.00,0.00,0,0
0003,TRAVA DIRECAO,N,63.91,46.11,11.57,1,1,0.00,0.00,0.00,0,0
0003,TRAVA DIRECAO,O,2469.22,1679.11,643.17,14,7,0.00,0.00,0.00,0,0
0003,TRAVA DIRECAO,Q,1076.09,666.40,227.24,6,4,0.00,0.00,0.00,0,0
0003,TRAVA DIRECAO,U,114.28,92.21,11.26,2,1,0.00,0.00,0.00,0,0
0003,TRAVA DIRECAO,,5416.99,4392.78,1284.94,40,20,2297.29,1982.18,416.60,21,13
0005,REGULADOR VOLT.,B,3465.78,3349.63,622.86,37,4,724.21,729.33,49.81,12,3
0005,REGULADOR VOLT.,E,15382.81,12442.93,1110.33,186,17,4853.37,3825.49,483.52,60,10
